Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
Jenni Minto (Scottish National Party) - Argyll and Bute,,,,,x,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",22,,"2024-11-12 SPOKE: Women’s Health Plan 2021 to 2024 ""On 24 September this year, the Abortion Services (Safe Access Zones) (Scotland) Act 2024 c"" [activity, not direction] | 2024-11-12 SPOKE: Women’s Health Plan 2021 to 2024 ""Gillian Mackay’s Abortion Services (Safe Access Zones) (Scotland) Bill was a great example"" [activity, not direction] | 2024-06-12 VOTE YES: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-2: Voted to pass the buffer zones law criminalising presence and prayer near abortion clinics.] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not di"
Meghan Gallacher (Scottish Conservative and Unionist Party) - Central Scot and Lothians West,,,,,x,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",11,,"2024-06-12 VOTE YES: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-2: Voted to pass the buffer zones law criminalising presence and prayer near abortion clinics.] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill"" [activity, not direction] | 2024-04-30 VOTE YES: S6M-13015 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-1: Supported the general principles of criminal buffer zones around abortion clinics at Stage 1.] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Therefore, I will move on to other concerns, because policing, I think, will be more probl"" [activity, not direction] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Acces"
Carol Mochan (Scottish Labour) - South Scotland,,,,,x,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",10,,"2026-02-03 QUESTION S6W-43531: ""To ask the Scottish Government what its response is to recent reports that the number of w"" [activity, not direction] | 2024-06-12 VOTE YES: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-2: Voted to pass the buffer zones law criminalising presence and prayer near abortion clinics.] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill"" [activity, not direction] | 2024-04-30 VOTE YES: S6M-13015 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-1: Supported the general principles of criminal buffer zones around abortion clinics at Stage 1.] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 1"" [activity, not direction] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 1"" [activity, not direction] | 2024-03-14 SPOKE: First Minister’s Question Time ""The protesters intimidate women at what is undoubtedly a challenging moment in their lives"" [activity, not direction]"
Liam McArthur (Scottish Liberal Democrats) - Orkney Islands,,,,,x,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",10,,"2026-03-24 SPOKE: Crime and Policing Bill ""The next item of business is consideration of motion S6M-21179, a motion on legislative co"" [activity, not direction] | 2026-03-24 SPOKE: Crime and Policing Bill ""Crime and Policing Bill"" [activity, not direction] | 2024-06-12 VOTE YES: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-2: Voted to pass the buffer zones law criminalising presence and prayer near abortion clinics.] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill"" [activity, not direction] | 2024-04-30 VOTE YES: S6M-13015 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-1: Supported the general principles of criminal buffer zones around abortion clinics at Stage 1.] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 1"" [activity, not direction] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 1"" [activity, not direction] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 1"" [activity, not direction]"
Alex Cole-Hamilton (Scottish Liberal Democrats) - Edinburgh North Western,,,,,x,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",8,,"2024-11-12 SPOKE: Women’s Health Plan 2021 to 2024 ""I very much regret that Tess White wants to lower the tone of what has so far been a conse"" [activity, not direction] | 2024-06-12 VOTE YES: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-2: Voted to pass the buffer zones law criminalising presence and prayer near abortion clinics.] | 2024-04-30 VOTE YES: S6M-13015 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-1: Supported the general principles of criminal buffer zones around abortion clinics at Stage 1.] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""I think that Ross Greer answered that well in the scripture that he just quoted. Some may "" [activity, not direction] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 1"" [activity, not direction] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 1"" [activity, not direction] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 1"" [activity, not direction] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 1"" [activity, not direction]"
Clare Haughey (Scottish National Party) - Rutherglen and Cambuslang,,,,,x,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",8,,"2025-05-13 SPOKE: Assisted Dying for Terminally Ill Adults (Sc ""Those include the right to life under article 2, the right to respect for private life und"" [activity, not direction] | 2025-05-13 SPOKE: Assisted Dying for Terminally Ill Adults (Sc ""One point that we have not really touched on this afternoon is conscientious objection for"" [activity, not direction] | 2025-04-20 MOTION PROPOSED S6M-17246: International Day of the Midwife [no meaning line -- not placed] | 2024-06-12 VOTE YES: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-2: Voted to pass the buffer zones law criminalising presence and prayer near abortion clinics.] | 2024-05-02 SPOKE: Unborn Victims of Violence ""However, as things stand in Scots law, there is no specific offence of ending a pregnancy "" [activity, not direction] | 2024-04-30 VOTE YES: S6M-13015 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-1: Supported the general principles of criminal buffer zones around abortion clinics at Stage 1.] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Article 8 of the European convention on human rights requires the state to ensure that an "" [activity, not direction] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 1"" [activity, not direction]"
"Rachael Hamilton (Scottish Conservative and Unionist Party) - Ettrick, Roxburgh and Berwickshire",,,,,x,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",7,,"2024-06-12 VOTE YES: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-2: Voted to pass the buffer zones law criminalising presence and prayer near abortion clinics.] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-04-30 VOTE YES: S6M-13015 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-1: Supported the general principles of criminal buffer zones around abortion clinics at Stage 1.]"
Ross Greer (Scottish Green Party) - West Scotland,,,,,x,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",6,,"2026-03-10 SPOKE: Assisted Dying for Terminally Ill Adults (Sc ""Assisted Dying for Terminally Ill Adults (Scotland) Bill: Stage 3"" [activity, not direction] | 2024-06-12 VOTE YES: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [-2: Voted to pass the buffer zones law criminalising presence and prayer near abortion clinics.] | 2024-06-12 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""Abortion Services (Safe Access Zones) (Scotland) Bill"" [activity, not direction] | 2024-04-30 VOTE YES: S6M-13015 (Abortion Services (Safe Access Zones) (Scotland)) [-1: Supported the general principles of criminal buffer zones around abortion clinics at Stage 1.] | 2024-04-30 SPOKE: Abortion Services (Safe Access Zones) (Scotl ""On behalf of the Green Party group, I congratulate our colleague and friend Gillian Mackay"" [activity, not direction] | 2024-01-23 SPOKE: British-Irish Parliamentary Assembly ""There was a sense that peace had been achieved and that that was something that did not ne"" [activity, not direction]"
George Adam (Scottish National Party) - Paisley,,,,,x,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",5,,2024-06-12 VOTE YES: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-2: Voted to pass the buffer zones law criminalising presence and prayer near abortion clinics.] | 2024-04-30 VOTE YES: S6M-13015 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-1: Supported the general principles of criminal buffer zones around abortion clinics at Stage 1.] | 2024-04-30 MOTION PROPOSED S6M-13040: Revision to Business Programme [no meaning line -- not placed] | 2024-04-23 MOTION PROPOSED S6M-12948: Business Programme [no meaning line -- not placed] | 2024-04-16 MOTION PROPOSED S6M-12867: Business Programme [no meaning line -- not placed]
Jamie Hepburn (Scottish National Party) - Cumbernauld and Kilsyth,,,,,x,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",5,,2024-06-12 VOTE YES: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-2: Voted to pass the buffer zones law criminalising presence and prayer near abortion clinics.] | 2024-06-11 MOTION PROPOSED S6M-13580: Stage 3 Timetable [no meaning line -- not placed] | 2024-06-04 MOTION PROPOSED S6M-13493: Business Programme [no meaning line -- not placed] | 2024-05-28 MOTION PROPOSED S6M-13392: Business Programme [no meaning line -- not placed] | 2024-04-30 VOTE YES: S6M-13015 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [-1: Supported the general principles of criminal buffer zones around abortion clinics at Stage 1.]
