Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
Miles Briggs (Scottish Conservative and Unionist Party) - Edinburgh and Lothians East,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Monica Lennon (Scottish Labour) - Central Scotland,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NOT VOTED: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [absence/abstention -- not placed]
Murdo Fraser (Scottish Conservative and Unionist Party) - Mid Scotland and Fife,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Màiri McAllan (Scottish National Party) - Clydesdale,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Neil Bibby (Scottish Labour) - West Scotland,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Neil Gray (Scottish National Party) - Airdrie,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Paul McLennan (Scottish National Party) - East Lothian Coast and Lammermuirs,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Paul Sweeney (Scottish Labour) - Glasgow,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Pauline McNeill (Scottish Labour) - Glasgow,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Q Manivannan (Scottish Green Party) - Edinburgh and Lothians East,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2026-05-19 MOTION PROPOSED S7M-00085: Ending Conversion Practices [no meaning line -- not placed]
"Rachael Hamilton (Scottish Conservative and Unionist Party) - Ettrick, Roxburgh and Berwickshire",,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Russell Findlay (Scottish Conservative and Unionist Party) - West Scotland,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Siobhian Brown (Scottish National Party) - Ayr,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NOT VOTED: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [absence/abstention -- not placed]
Stephen Kerr (Scottish Conservative and Unionist Party) - Mid Scotland and Fife,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Stuart McMillan (Scottish National Party) - Inverclyde,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Tim Eagle (Scottish Conservative and Unionist Party) - Highlands and Islands,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Tom Arthur (Scottish National Party) - Renfrewshire West and Levern Valley,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Willie Rennie (Scottish Liberal Democrats) - Fife North East,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Adam Harley (Scottish Liberal Democrats) - Strathkelvin and Bearsden,,,x,,,,no evidence,,0,,No recorded activity on this area
Alan Brown (Scottish National Party) - Kilmarnock and Irvine Valley,,,x,,,,no evidence,,0,,No recorded activity on this area
"Alex Kerr (Scottish National Party) - Hamilton, Larkhall and Stonehouse",,,x,,,,no evidence,,0,,No recorded activity on this area
Alison Thewliss (Scottish National Party) - Glasgow Central,,,x,,,,no evidence,,0,,No recorded activity on this area
Alyn Smith (Scottish National Party) - Stirling,,,x,,,,no evidence,,0,,No recorded activity on this area
Amanda Bland (Reform UK) - Central Scot and Lothians West,,,x,,,,no evidence,,0,,No recorded activity on this area
Amanda Lindsay (Reform UK) - Central Scot and Lothians West,,,x,,,,no evidence,,0,,No recorded activity on this area
"Andrew Baxter (Scottish Liberal Democrats) - Skye, Lochaber and Badenoch",,,x,,,,no evidence,,0,,No recorded activity on this area
Angela Ross (Reform UK) - Edinburgh and Lothians East,,,x,,,,no evidence,,0,,No recorded activity on this area
"Calum Kerr (Scottish National Party) - Midlothian South, Tweeddale and Lauderdale",,,x,,,,no evidence,,0,,No recorded activity on this area
Cara McKee (Scottish Green Party) - West Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Colm Merrick (Scottish National Party) - Glasgow Anniesland,,,x,,,,no evidence,,0,,No recorded activity on this area
David Barratt (Scottish National Party) - Cowdenbeath,,,x,,,,no evidence,,0,,No recorded activity on this area
"David Green (Scottish Liberal Democrats) - Caithness, Sutherland and Ross",,,x,,,,no evidence,,0,,No recorded activity on this area
David Kirkwood (Reform UK) - South Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
David Linden (Scottish National Party) - Glasgow Baillieston and Shettleston,,,x,,,,no evidence,,0,,No recorded activity on this area
David Smith (Reform UK) - West Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Dawn Black (Scottish National Party) - Angus North and Mearns,,,x,,,,no evidence,,0,,No recorded activity on this area
Donald MacKinnon (Scottish Labour) - Na h-Eileanan an Iar,,,x,,,,no evidence,,0,,No recorded activity on this area
Duncan Dunlop (Scottish Liberal Democrats) - South Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Duncan Massey (Reform UK) - North East Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Gary Bouse (Scottish National Party) - Falkirk West,,,x,,,,no evidence,,0,,No recorded activity on this area
Hannah Mary Goodlad (Scottish National Party) - Shetland Islands,,,x,,,,no evidence,,0,,No recorded activity on this area
Heather Anderson (Scottish National Party) - Dundee City West,,,x,,,,no evidence,,0,,No recorded activity on this area
Helen McDade (Reform UK) - Mid Scotland and Fife,,,x,,,,no evidence,,0,,No recorded activity on this area
Holly Bruce (Scottish Green Party) - Glasgow Southside,,,x,,,,no evidence,,0,,No recorded activity on this area
Iris Duane (Scottish Green Party) - Glasgow,,,x,,,,no evidence,,0,,No recorded activity on this area
Irshad Ahmed (Scottish Labour) - Edinburgh and Lothians East,,,x,,,,no evidence,,0,,No recorded activity on this area
Jack Middleton (Scottish National Party) - Aberdeen Central,,,x,,,,no evidence,,0,,No recorded activity on this area
James Adams (Scottish Conservative and Unionist Party) - North East Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Jamie Langan (Reform UK) - South Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
