Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
Sanne Dijkstra-Downie (Scottish Liberal Democrats) - Edinburgh Northern,,,x,,,,no evidence,,0,,No recorded activity on this area
Senga Beresford (Reform UK) - South Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Simita Kumar (Scottish National Party) - Edinburgh South Western,,,x,,,,no evidence,,0,,No recorded activity on this area
Stephen Flynn (Scottish National Party) - Aberdeen Deeside and North Kincardine,,,x,,,,no evidence,,0,,No recorded activity on this area
Stephen Gethins (Scottish National Party) - Dundee City East,,,x,,,,no evidence,,0,,No recorded activity on this area
Steven Bonnar (Scottish National Party) - Uddingston and Bellshill,,,x,,,,no evidence,,0,,No recorded activity on this area
Thomas Kerr (Reform UK) - Glasgow,,,x,,,,no evidence,,0,,No recorded activity on this area
Victor Currie (Reform UK) - Highlands and Islands,,,x,,,,no evidence,,0,,No recorded activity on this area
Yi-pei Chou Turvey (Scottish Liberal Democrats) - North East Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Zen Ghani (Scottish National Party) - Glasgow Cathcart and Pollok,,,x,,,,no evidence,,0,,No recorded activity on this area
