Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
Siân Gwenllian (Plaid Cymru) - Gwynedd Maldwyn,,,x,,,,no confirmed meaning line,n/a (activity only),6,,2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2024-10-23 VOTE DIDNOTVOTE: Item 5. Member Debate under Standing Order 11.21(iv) - A [absence/abstention -- not placed] | 2024-01-24 VOTE DIDNOTVOTE: Item 6. Member Debate under Standing Order 11.21(iv) - C [absence/abstention -- not placed]
Lindsay Whittle (Plaid Cymru) - Blaenau Gwent Caerffili Rhymni,,,x,,,,no confirmed meaning line,n/a (activity only),4,,2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml]
Adrian Mason (Reform UK) - Clwyd,,,x,,,,no evidence,,0,,No recorded activity on this area
Alun Cox (Plaid Cymru) - Afan Ogwr Rhondda,,,x,,,,no evidence,,0,,No recorded activity on this area
Andrew Griffin (Reform UK) - Gwynedd Maldwyn,,,x,,,,no evidence,,0,,No recorded activity on this area
Anna Brychan (Plaid Cymru) - Caerdydd Penarth,,,x,,,,no evidence,,0,,No recorded activity on this area
Anna Nicholl (Plaid Cymru) - Ceredigion Penfro,,,x,,,,no evidence,,0,,No recorded activity on this area
Anthony Slaughter (Wales Green Party) - Caerdydd Penarth,,,x,,,,no evidence,,0,,No recorded activity on this area
Art Wright (Reform UK) - Casnewydd Islwyn,,,x,,,,no evidence,,0,,No recorded activity on this area
Beca Brown (Plaid Cymru) - Gwynedd Maldwyn,,,x,,,,no evidence,,0,,No recorded activity on this area
Becca Martin (Plaid Cymru) - Clwyd,,,x,,,,no evidence,,0,,No recorded activity on this area
Benjamin McKenna (Reform UK) - Afan Ogwr Rhondda,,,x,,,,no evidence,,0,,No recorded activity on this area
Cai Parry-Jones (Reform UK) - Caerdydd Ffynnon Taf,,,x,,,,no evidence,,0,,No recorded activity on this area
Carmelo Colasanto (Reform UK) - Sir Gaerfyrddin,,,x,,,,no evidence,,0,,No recorded activity on this area
