speaker,party,seat,direction,onside_confirmed,rose_at_london,start_utc,end_utc,seconds,footage_link,hansard_link
Sir Desmond Swayne,Con,New Forest West,Neutral or unclear,,13:09:40,2026-09-04T12:09:40Z,2026-09-04T12:11:43Z,123,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-DBB15308-5A26-4046-A93D-868062560D75
Chris Kane,Lab,Stirling and Strathallan,Neutral or unclear,,09:55:51,2026-09-04T08:55:51Z,2026-09-04T08:56:06Z,15,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-039455A1-2613-40EA-8C50-39DBFE4B56DC
Chris Kane,Lab,Stirling and Strathallan,Neutral or unclear,,10:16:45,2026-09-04T09:16:45Z,2026-09-04T09:17:04Z,19,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-039455A1-2613-40EA-8C50-39DBFE4B56DC
Chris Kane,Lab,Stirling and Strathallan,Neutral or unclear,,12:46:06,2026-09-04T11:46:06Z,2026-09-04T11:47:06Z,60,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-039455A1-2613-40EA-8C50-39DBFE4B56DC
Dame Meg Hillier,Lab/Co-op,Hackney South and Shoreditch,Neutral or unclear,,09:56:23,2026-09-04T08:56:23Z,2026-09-04T08:57:00Z,37,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-155ADE16-3B00-461F-8AAD-398686D42891
Dame Meg Hillier,Lab/Co-op,Hackney South and Shoreditch,Neutral or unclear,,10:06:44,2026-09-04T09:06:44Z,2026-09-04T09:07:18Z,34,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-155ADE16-3B00-461F-8AAD-398686D42891
Dame Meg Hillier,Lab/Co-op,Hackney South and Shoreditch,Neutral or unclear,,10:49:00,2026-09-04T09:49:00Z,2026-09-04T09:49:37Z,37,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-155ADE16-3B00-461F-8AAD-398686D42891
Natasha Irons,Lab,Croydon East,Neutral or unclear,,09:58:09,2026-09-04T08:58:09Z,2026-09-04T08:58:45Z,36,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-4734341C-D93B-4172-BF14-94E5B6A39718
Natasha Irons,Lab,Croydon East,Neutral or unclear,,10:13:41,2026-09-04T09:13:41Z,2026-09-04T09:14:41Z,60,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-4734341C-D93B-4172-BF14-94E5B6A39718
Natasha Irons,Lab,Croydon East,Neutral or unclear,,11:09:41,2026-09-04T10:09:41Z,2026-09-04T10:10:39Z,58,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-4734341C-D93B-4172-BF14-94E5B6A39718
